Frame; Time (ms); Time (s); Delta
670;6005,82;6,01;8,1
671;6013,67;6,01;7,85
672;6021,39;6,02;7,72
673;6029,12;6,03;7,73
674;6036,86;6,04;7,74
675;6044,58;6,04;7,72
676;6052,39;6,05;7,81
677;6059,98;6,06;7,59
678;6067,69;6,07;7,71
679;6075,38;6,08;7,69
680;6083,21;6,08;7,83
681;6091,02;6,09;7,81
682;6098,73;6,1;7,71
683;6106,75;6,11;8,02
684;6114,46;6,11;7,71
685;6122,06;6,12;7,6
686;6129,79;6,13;7,73
687;6137,72;6,14;7,93
688;6145,74;6,15;8,02
689;6153,48;6,15;7,74
690;6161,5;6,16;8,02
691;6169,88;6,17;8,38
692;6178,07;6,18;8,19
693;6185,91;6,19;7,84
694;6194,3;6,19;8,39
695;6202,36;6,2;8,06
696;6210,3;6,21;7,94
697;6218,51;6,22;8,21
698;6226,21;6,23;7,7
699;6234,1;6,23;7,89
700;6242,1;6,24;8
701;6250,24;6,25;8,14
702;6257,97;6,26;7,73
703;6266,05;6,27;8,08
704;6274,17;6,27;8,12
705;6281,89;6,28;7,72
706;6289,68;6,29;7,79
707;6297,68;6,3;8
708;6305,77;6,31;8,09
709;6313,56;6,31;7,79
710;6321,61;6,32;8,05
711;6329,46;6,33;7,85
712;6337,33;6,34;7,87
713;6345,13;6,35;7,8
714;6353;6,35;7,87
715;6360,77;6,36;7,77
716;6369,2;6,37;8,43
717;6376,88;6,38;7,68
718;6385,63;6,39;8,75
719;6394,22;6,39;8,59
720;6401,76;6,4;7,54
721;6409,61;6,41;7,85
722;6418,21;6,42;8,6
723;6426,08;6,43;7,87
724;6433,92;6,43;7,84
725;6442,08;6,44;8,16
726;6450,24;6,45;8,16
727;6457,95;6,46;7,71
728;6466;6,47;8,05
729;6473,7;6,47;7,7
730;6481,58;6,48;7,88
731;6489,35;6,49;7,77
732;6497,24;6,5;7,89
733;6504,88;6,5;7,64
734;6513,01;6,51;8,13
735;6521,12;6,52;8,11
736;6529,2;6,53;8,08
737;6537,32;6,54;8,12
738;6545,38;6,55;8,06
739;6554,28;6,55;8,9
740;6562,16;6,56;7,88
741;6570,04;6,57;7,88
742;6577,82;6,58;7,78
743;6586,62;6,59;8,8
744;6594,9;6,59;8,28
745;6602,52;6,6;7,62
746;6610,75;6,61;8,23
747;6618,58;6,62;7,83
748;6626,77;6,63;8,19
749;6635,15;6,64;8,38
750;6644,74;6,64;9,59
751;6653,14;6,65;8,4
752;6661,42;6,66;8,28
753;6669,42;6,67;8
754;6677,17;6,68;7,75
755;6685,45;6,69;8,28
756;6693,5;6,69;8,05
757;6701,85;6,7;8,35
758;6710,01;6,71;8,16
759;6718,17;6,72;8,16
760;6726,14;6,73;7,97
761;6734,17;6,73;8,03
762;6742,01;6,74;7,84
763;6749,66;6,75;7,65
764;6757,51;6,76;7,85
765;6765,3;6,77;7,79
766;6774,27;6,77;8,97
767;6782,39;6,78;8,12
768;6790,24;6,79;7,85
769;6798,66;6,8;8,42
770;6806,71;6,81;8,05
771;6814,55;6,81;7,84
772;6822,66;6,82;8,11
773;6830,32;6,83;7,66
774;6838,09;6,84;7,77
775;6846,29;6,85;8,2
776;6854,04;6,85;7,75
777;6861,97;6,86;7,93
778;6869,86;6,87;7,89
779;6877,93;6,88;8,07
780;6885,7;6,89;7,77
781;6893,52;6,89;7,82
782;6901,2;6,9;7,68
783;6908,85;6,91;7,65
784;6917,8;6,92;8,95
785;6925,42;6,93;7,62
786;6933,36;6,93;7,94
787;6941,32;6,94;7,96
788;6949,05;6,95;7,73
789;6957,17;6,96;8,12
790;6964,76;6,96;7,59
791;6972,69;6,97;7,93
792;6980,63;6,98;7,94
793;6988,74;6,99;8,11
794;6996,61;7;7,87
795;7004,4;7;7,79
796;7022,23;7,02;17,83
797;7039,52;7,04;17,29
798;7049,17;7,05;9,65
799;7057,28;7,06;8,11
800;7065,36;7,07;8,08
801;7073,41;7,07;8,05
802;7081,76;7,08;8,35
803;7090,1;7,09;8,34
804;7098,11;7,1;8,01
805;7106,12;7,11;8,01
806;7113,95;7,11;7,83
807;7121,73;7,12;7,78
808;7129,58;7,13;7,85
809;7137,36;7,14;7,78
810;7145,43;7,15;8,07
811;7154;7,15;8,57
812;7161,88;7,16;7,88
813;7169,74;7,17;7,86
814;7177,8;7,18;8,06
815;7185,61;7,19;7,81
816;7194,06;7,19;8,45
