Frame; Time (ms);Time (s);Delta
455;3831,1;3,8311;7,968
456;3839,068;3,839068;8,125
457;3847,193;3,847193;8,022
458;3855,215;3,855215;8,237
459;3863,452;3,863452;7,816
460;3871,268;3,871268;8,091
461;3879,359;3,879359;7,828
462;3887,187;3,887187;7,925
463;3895,112;3,895112;7,811
464;3902,923;3,902923;7,966
465;3910,889;3,910889;7,951
466;3918,84;3,91884;7,8
467;3926,64;3,92664;7,976
468;3934,616;3,934616;7,999
469;3942,615;3,942615;8,046
470;3950,661;3,950661;8,244
471;3958,905;3,958905;8,219
472;3967,124;3,967124;7,79
473;3974,914;3,974914;8,066
474;3982,98;3,98298;7,876
475;3990,856;3,990856;8,464
476;3999,32;3,99932;7,94
477;4007,26;4,00726;7,997
478;4015,257;4,015257;8,399
479;4023,656;4,023656;8,387
480;4032,043;4,032043;8,108
481;4040,151;4,040151;8,407
482;4048,558;4,048558;8,171
483;4056,729;4,056729;8,334
484;4065,063;4,065063;8,057
485;4073,12;4,07312;8,141
486;4081,261;4,081261;8,043
487;4089,304;4,089304;8,168
488;4097,472;4,097472;8,073
489;4105,545;4,105545;7,974
490;4113,519;4,113519;8,166
491;4121,685;4,121685;8,281
492;4129,966;4,129966;10,003
493;4139,969;4,139969;11,45
494;4151,419;4,151419;8,048
495;4159,467;4,159467;8,063
496;4167,53;4,16753;8,518
497;4176,048;4,176048;8,006
498;4184,054;4,184054;7,971
499;4192,025;4,192025;8,257
500;4200,282;4,200282;8,182
501;4208,464;4,208464;8,236
502;4216,7;4,2167;8,04
503;4224,74;4,22474;8,427
504;4233,167;4,233167;8,097
505;4241,264;4,241264;8,011
506;4249,275;4,249275;7,972
507;4257,247;4,257247;8,158
508;4265,405;4,265405;8,686
509;4274,091;4,274091;8,31
510;4282,401;4,282401;8,281
511;4290,682;4,290682;7,908
512;4298,59;4,29859;7,986
513;4306,576;4,306576;7,88
514;4314,456;4,314456;8,015
515;4322,471;4,322471;7,908
516;4330,379;4,330379;7,809
517;4338,188;4,338188;7,963
518;4346,151;4,346151;8,009
519;4354,16;4,35416;7,978
520;4362,138;4,362138;7,993
521;4370,131;4,370131;8,445
522;4378,576;4,378576;9,239
523;4387,815;4,387815;8,105
524;4395,92;4,39592;8,017
525;4403,937;4,403937;8,031
526;4411,968;4,411968;8,098
527;4420,066;4,420066;8,02
528;4428,086;4,428086;7,941
529;4436,027;4,436027;8,659
530;4444,686;4,444686;8,271
531;4452,957;4,452957;8,137
532;4461,094;4,461094;8,069
533;4469,163;4,469163;8,003
534;4477,166;4,477166;7,972
535;4485,138;4,485138;7,997
536;4493,135;4,493135;8,147
537;4501,282;4,501282;8,299
538;4509,581;4,509581;8,173
539;4517,754;4,517754;8,239
540;4525,993;4,525993;8,338
541;4534,331;4,534331;8,18
542;4542,511;4,542511;9,519
543;4552,03;4,55203;8,339
544;4560,369;4,560369;8,39
545;4568,759;4,568759;7,991
546;4576,75;4,57675;8,095
547;4584,845;4,584845;8,037
548;4592,882;4,592882;7,968
549;4600,85;4,60085;7,946
550;4608,796;4,608796;7,991
551;4616,787;4,616787;7,764
552;4624,551;4,624551;7,883
553;4632,434;4,632434;7,884
554;4640,318;4,640318;7,931
555;4648,249;4,648249;7,873
556;4656,122;4,656122;8,222
557;4664,344;4,664344;8,049
558;4672,393;4,672393;8,123
559;4680,516;4,680516;7,979
560;4688,495;4,688495;7,96
561;4696,455;4,696455;7,974
562;4704,429;4,704429;8,472
563;4712,901;4,712901;8,965
564;4721,866;4,721866;7,942
565;4729,808;4,729808;7,824
566;4737,632;4,737632;8,078
567;4745,71;4,74571;8,435
568;4754,145;4,754145;8,17
569;4762,315;4,762315;8,268
570;4770,583;4,770583;8,025
571;4778,608;4,778608;8,176
572;4786,784;4,786784;8,308
573;4795,092;4,795092;8,139
574;4803,231;4,803231;7,93
575;4811,161;4,811161;8,001
576;4819,162;4,819162;8,626
577;4827,788;4,827788;7,826
578;4835,614;4,835614;7,927
579;4843,541;4,843541;7,991
580;4851,532;4,851532;8,117
581;4859,649;4,859649;7,971
582;4867,62;4,86762;8,187
583;4875,807;4,875807;7,936
584;4883,743;4,883743;7,827
585;4891,57;4,89157;7,872
586;4899,442;4,899442;7,808
587;4907,25;4,90725;8,084
588;4915,334;4,915334;8,056
589;4923,39;4,92339;8,346
590;4931,736;4,931736;7,938
591;4939,674;4,939674;8,228
592;4947,902;4,947902;8,087
593;4955,989;4,955989;7,916
594;4963,905;4,963905;8,069
595;4971,974;4,971974;8
596;4979,974;4,979974;7,816
597;4987,79;4,98779;8,295
598;4996,085;4,996085;8,102
599;5004,187;5,004187;7,94
600;5012,127;5,012127;8,648
601;5020,775;5,020775;7,965
602;5028,74;5,02874;7,962
603;5036,702;5,036702;8,099
604;5044,801;5,044801;8,007
605;5052,808;5,052808;7,525
606;5060,333;5,060333;10,959
607;5071,292;5,071292;9,712
608;5081,004;5,081004;84,688
609;5165,692;5,165692;23,532
610;5189,224;5,189224;30,925
611;5220,149;5,220149;22,588
612;5242,737;5,242737;9,339
613;5252,076;5,252076;10,308
614;5262,384;5,262384;9,931
615;5272,315;5,272315;10,335
616;5282,65;5,28265;9,25
617;5291,9;5,2919;9,439
618;5301,339;5,301339;9,66
619;5310,999;5,310999;14,166
620;5325,165;5,325165;14,972
621;5340,137;5,340137;13,49
622;5353,627;5,353627;15,214
623;5368,841;5,368841;16,251
624;5385,092;5,385092;16,163
625;5401,255;5,401255;15,677
626;5416,932;5,416932;16,228
627;5433,16;5,43316;16,657
628;5449,817;5,449817;18,085
629;5467,902;5,467902;17,024
630;5484,926;5,484926;17,257
631;5502,183;5,502183;18,996
632;5521,179;5,521179;18,398
633;5539,577;5,539577;14,706
634;5554,283;5,554283;17,846
635;5572,129;5,572129;14,122
636;5586,251;5,586251;9,198
637;5595,449;5,595449;9,001
638;5604,45;5,60445;10,928
639;5615,378;5,615378;8,76
640;5624,138;5,624138;9,161
641;5633,299;5,633299;8,634
642;5641,933;5,641933;9,383
643;5651,316;5,651316;9,433
644;5660,749;5,660749;8,777
645;5669,526;5,669526;9,704
646;5679,23;5,67923;9,001
647;5688,231;5,688231;8,7
648;5696,931;5,696931;8,424
649;5705,355;5,705355;8,843
650;5714,198;5,714198;8,423
651;5722,621;5,722621;8,842
652;5731,463;5,731463;8,408
653;5739,871;5,739871;8,282
654;5748,153;5,748153;8,672
655;5756,825;5,756825;8,126
656;5764,951;5,764951;8,092
657;5773,043;5,773043;8,348
658;5781,391;5,781391;8,271
659;5789,662;5,789662;8,03
660;5797,692;5,797692;8,198
661;5805,89;5,80589;8,596
662;5814,486;5,814486;20,557
663;5835,043;5,835043;97,454
664;5932,497;5,932497;29,888
665;5962,385;5,962385;10,981
666;5973,366;5,973366;8,487
667;5981,853;5,981853;7,869
668;5989,722;5,989722;7,993
669;5997,715;5,997715;8,107
670;6005,822;6,005822;7,844
671;6013,666;6,013666;7,72
672;6021,386;6,021386;7,732
673;6029,118;6,029118;7,737
674;6036,855;6,036855;7,729
675;6044,584;6,044584;7,804
676;6052,388;6,052388;7,595
677;6059,983;6,059983;7,709
678;6067,692;6,067692;7,684
679;6075,376;6,075376;7,837
680;6083,213;6,083213;7,803
681;6091,016;6,091016;7,712
682;6098,728;6,098728;8,022
683;6106,75;6,10675;7,714
684;6114,464;6,114464;7,593
685;6122,057;6,122057;7,73
686;6129,787;6,129787;7,933
687;6137,72;6,13772;8,022
688;6145,742;6,145742;7,734
689;6153,476;6,153476;8,023
690;6161,499;6,161499;8,383
691;6169,882;6,169882;8,189
692;6178,071;6,178071;7,838
693;6185,909;6,185909;8,391
694;6194,3;6,1943;8,061
695;6202,361;6,202361;7,943
696;6210,304;6,210304;8,209
697;6218,513;6,218513;7,7
698;6226,213;6,226213;7,885
699;6234,098;6,234098;8,004
700;6242,102;6,242102;8,136
701;6250,238;6,250238;7,728
702;6257,966;6,257966;8,081
703;6266,047;6,266047;8,127
704;6274,174;6,274174;7,716
705;6281,89;6,28189;7,791
706;6289,681;6,289681;7,997
707;6297,678;6,297678;8,089
708;6305,767;6,305767;7,793
709;6313,56;6,31356;8,052
710;6321,612;6,321612;7,848
711;6329,46;6,32946;7,87
712;6337,33;6,33733;7,804
713;6345,134;6,345134;7,862
714;6352,996;6,352996;7,777
715;6360,773;6,360773;8,431
716;6369,204;6,369204;7,678
717;6376,882;6,376882;8,751
718;6385,633;6,385633;8,589
719;6394,222;6,394222;7,534
720;6401,756;6,401756;7,851
721;6409,607;6,409607;8,606
722;6418,213;6,418213;7,864
723;6426,077;6,426077;7,848
724;6433,925;6,433925;8,156
725;6442,081;6,442081;8,161
726;6450,242;6,450242;7,711
727;6457,953;6,457953;8,046
728;6465,999;6,465999;7,697
729;6473,696;6,473696;7,882
730;6481,578;6,481578;7,775
731;6489,353;6,489353;7,885
732;6497,238;6,497238;7,643
733;6504,881;6,504881;8,128
734;6513,009;6,513009;8,109
735;6521,118;6,521118;8,082
736;6529,2;6,5292;8,119
737;6537,319;6,537319;8,057
738;6545,376;6,545376;8,905
739;6554,281;6,554281;7,877
740;6562,158;6,562158;7,879
741;6570,037;6,570037;7,787
742;6577,824;6,577824;8,794
743;6586,618;6,586618;8,285
744;6594,903;6,594903;7,616
745;6602,519;6,602519;8,229
746;6610,748;6,610748;7,827
747;6618,575;6,618575;8,191
748;6626,766;6,626766;8,385
749;6635,151;6,635151;9,585
750;6644,736;6,644736;8,407
751;6653,143;6,653143;8,274
752;6661,417;6,661417;8,003
753;6669,42;6,66942;7,753
754;6677,173;6,677173;8,281
755;6685,454;6,685454;8,041
756;6693,495;6,693495;8,354
757;6701,849;6,701849;8,16
758;6710,009;6,710009;8,162
759;6718,171;6,718171;7,966
760;6726,137;6,726137;8,035
761;6734,172;6,734172;7,839
762;6742,011;6,742011;7,648
763;6749,659;6,749659;7,847
764;6757,506;6,757506;7,789
765;6765,295;6,765295;8,977
766;6774,272;6,774272;8,116
767;6782,388;6,782388;7,855
768;6790,243;6,790243;8,412
769;6798,655;6,798655;8,055
770;6806,71;6,80671;7,836
771;6814,546;6,814546;8,11
772;6822,656;6,822656;7,666
773;6830,322;6,830322;7,772
774;6838,094;6,838094;8,197
775;6846,291;6,846291;7,748
776;6854,039;6,854039;7,933
777;6861,972;6,861972;7,886
778;6869,858;6,869858;8,07
779;6877,928;6,877928;7,767
780;6885,695;6,885695;7,824
781;6893,519;6,893519;7,684
782;6901,203;6,901203;7,649
783;6908,852;6,908852;8,951
784;6917,803;6,917803;7,612
785;6925,415;6,925415;7,946
786;6933,361;6,933361;7,956
787;6941,317;6,941317;7,731
788;6949,048;6,949048;8,124
789;6957,172;6,957172;7,583
790;6964,755;6,964755;7,933
791;6972,688;6,972688;7,94
792;6980,628;6,980628;8,11
793;6988,738;6,988738;7,868
794;6996,606;6,996606;7,797
795;7004,403;7,004403;17,826
